Date,NASDAQ,WBA
2015-02-04,47.6,74.67
2015-02-05,48.3,74.79
2015-02-06,49.24,76.15
2015-02-09,48.49,76.4
2015-02-10,48.55,76.69
2015-02-11,49.18,79.53
2015-02-12,49.75,79.96
2015-02-13,49.48,78.73
2015-02-17,49.92,78.0
2015-02-18,49.91,77.79
2015-02-19,50.3,77.1
2015-02-20,50.94,77.13
2015-02-23,50.79,78.59
2015-02-24,50.65,80.39
2015-02-25,50.79,80.01
2015-02-26,50.64,81.65
2015-02-27,50.16,83.08
2015-03-02,50.92,83.62
2015-03-03,50.6,83.21
2015-03-04,51.02,83.02
2015-03-05,50.78,83.2
2015-03-06,50.19,82.35
2015-03-09,50.7,83.5
2015-03-10,49.64,82.72
2015-03-11,49.34,82.51
2015-03-12,49.99,84.25
2015-03-13,50.25,83.72
2015-03-16,50.81,86.77
2015-03-17,50.94,86.26
2015-03-18,49.52,87.18
2015-03-19,50.41,87.36
2015-03-20,50.44,88.23
2015-03-23,50.33,87.92
2015-03-24,50.17,88.0
2015-03-25,49.16,85.88
2015-03-26,49.55,84.44
2015-03-27,49.7,85.29
2015-03-30,50.7,85.99
2015-03-31,50.94,84.68
2015-04-01,50.46,84.26
2015-04-02,50.11,85.97
